"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*0623e*","Collin Gillespie","PHO","PG,G,Flx","105","FA","","53.67","4","291.6","18%","+17.8%","3","21.5","3.3","8.3",".400","0.0","0.0","0","2.0","3.0","3.3","0.7","0.7","1.3","8.7"
"*06cc7*","Brandin Podziemski","GS","SG,G,SF,F,Flx","106","BOT","","53.55","100","116.7","94%","+93.6%","3","29.8","3.0","8.3",".360","1.3","2.0",".667","1.3","5.0","1.0","1.3","0.0","1.3","8.7"
"*06v58*","Tre Johnson","WAS","SG,G,Flx","107","WIN","CHA Sun 5:00PM","53.32","88","185.9","68%","+67.8%","2","26.3","6.0","12.0",".500","1.0","1.0","1.000","3.5","4.0","2.0","0.5","1.0","2.0","16.5"
"*04ewk*","John Collins","LAC","SF,PF,F,Flx","108","Superswa","POR Sun 8:00PM","53.04","100","91.5","98%","+97.8%","2","25.9","4.5","8.5",".529","2.5","3.5",".714","0.5","6.5","1.5","1.5","1.0","2.0","12.0"
"*03nwk*","Kelly Oubre Jr.","PHI","SF,PF,F,Flx","109","WIN","","52.83","100","139.5","84%","+83.9%","2","35.5","4.5","8.0",".563","3.5","3.5","1.000","2.0","2.5","1.0","1.0","0.5","1.0","14.5"
"*05qu0*","Jaden McDaniels","MIN","SF,PF,F,Flx","110","Slovenia","IND Sun 6:00PM","52.63","100","114.1","92%","+92.5%","2","28.0","5.5","12.0",".458","1.5","2.0",".750","1.5","3.5","1.0","0.5","2.0","1.5","14.0"
"*05uiz*","Quentin Grimes","PHI","SG,G,SF,F,Flx","111","BOT","","52.61","99","148.2","80%","+80.5%","2","30.9","5.0","11.0",".455","3.5","4.5",".778","3.5","4.0","4.5","0.0","0.0","3.5","17.0"
"*06cac*","Cason Wallace","OKC","PG,SG,G,SF,F,Flx","112","Superswa","","52.46","100","150.2","90%","+89.9%","2","33.6","3.0","8.5",".353","0.5","1.0",".500","2.0","5.0","4.0","3.5","0.5","1.5","8.5"
"*06212*","Jabari Smith","HOU","PF,F,Flx","113","GAS","","52.34","100","127.8","93%","+92.8%","2","40.8","5.0","14.5",".345","1.0","1.0","1.000","2.5","5.5","1.0","1.0","0.5","1.0","13.5"
"*05uuq*","Jock Landale","MEM","C,Flx","114","FA","","52.27","4","289.2","15%","+15%","3","23.0","2.3","6.0",".389","2.0","2.7",".750","0.7","5.7","0.3","0.0","1.0","1.0","7.3"
"*051oy*","Goga Bitadze","ORL","C,Flx","115","W <small>(Tue)</small>","","52.17","35","259.4","34%","+33.8%","3","17.5","1.7","2.7",".625","1.3","1.7",".800","0.0","7.3","2.0","0.3","1.0","0.3","4.7"
"*06v8e*","Javon Small","MEM","PG,SG,G,Flx","116","FA","","52.07","1","291.5","14%","+14.3%","3","20.7","2.3","5.7",".412","2.0","2.7",".750","1.7","1.3","5.7","0.0","0.3","1.3","8.3"
"*03al2*","Joel Embiid","PHI","C,Flx","117","WIN","","52.04","100","51.1","99%","+98.7%","2","20.2","4.0","10.0",".400","2.5","3.5",".714","1.5","4.0","3.0","1.0","0.5","2.0","12.0"
"*027p4*","Tobias Harris","DET","PF,F,Flx","118","GAS","BOS Sun 2:30PM","51.86","100","103.3","95%","+94.8%","2","37.2","4.0","12.0",".333","0.5","0.5","1.000","1.0","8.5","4.0","1.0","0.5","0.5","9.5"
"*05qt1*","Payton Pritchard","BOS","PG,G,Flx","119","herb","@DET Sun 2:30PM","51.66","100","70.5","99%","+99.3%","2","36.5","4.0","12.0",".333","3.0","3.5",".857","1.0","5.0","4.0","1.5","0.0","1.5","12.0"
"*06mk7*","Kelel Ware","MIA","C,Flx","120","BOT","NY Sun 5:00PM","51.64","100","95.3","98%","+97.7%","2","18.3","5.5","8.5",".647","1.0","1.0","1.000","1.0","6.5","0.5","1.0","1.0","1.5","13.0"
